"Num","Name","Qty","Amount"
"TJX80033860","TJX - TJ Maxx:TJX-TJ Maxx-80",124,512.12
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",92,379.96
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",64,264.32
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",88,363.44
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",88,363.44
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",84,346.92
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",100,413.00
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",64,264.32
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",84,346.92
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",76,313.88
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",92,379.96
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",124,512.12
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",88,363.44
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",128,528.64
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",124,512.12
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",88,363.44
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",128,528.64
"Total 67016 (Wavy Glass 34 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,2724,11250.12
"67017 (Wavy Glass 51 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,,
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",140,693.00
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",96,475.20
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",132,653.40
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",132,653.40
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",128,633.60
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",152,752.40
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",100,495.00
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",124,613.80
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",112,554.40
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",140,693.00
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",80,396.00
"TJX40020922","TJX - TJ Maxx:TJX-TJ Maxx-40",96,475.20
"TJX60020922","TJX - TJ Maxx:TJX-TJ Maxx-60",104,514.80
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",132,653.40
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",96,475.20
"TJX10020923","TJX - TJ Maxx:TJX-TJ Maxx-10",84,415.80
"TJX40020923","TJX - TJ Maxx:TJX-TJ Maxx-40",92,455.40
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",96,475.20
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",136,673.20
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",100,495.00
"Total 67017 (Wavy Glass 51 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,2272,11246.40
"67018 (Wavy Glass 27 oz Square Food Storage 2P sets - Rose Pink)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",184,675.28
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",188,689.96
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",224,822.08
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",220,807.40
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",280,1027.60
"MAR01033822","TJX - Marshalls:TJX-Marshalls-01",152,557.84
"MAR04033822","TJX - Marshalls:TJX-Marshalls-04",228,836.76
"MAR06033822","TJX - Marshalls:TJX-Marshalls-06",268,983.56
"MAR07033822","TJX - Marshalls:TJX-Marshalls-07",256,939.52
"MAR08033822","TJX - Marshalls:TJX-Marshalls-08",304,1115.68
"TJX10033861","TJX - TJ Maxx:TJX-TJ Maxx-10",136,499.12
"TJX40033861","TJX - TJ Maxx:TJX-TJ Maxx-40",184,675.28
"TJX60033861","TJX - TJ Maxx:TJX-TJ Maxx-60",440,1614.80
"TJX70033861","TJX - TJ Maxx:TJX-TJ Maxx-70",344,1262.48
"TJX80033861","TJX - TJ Maxx:TJX-TJ Maxx-80",344,1262.48
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",212,778.04
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",248,910.16
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",260,954.20
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",360,1321.20
"TJX80033853","TJX - TJ Maxx:TJX-TJ Maxx-80",252,924.84
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",188,689.96
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",128,469.76
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",176,645.92
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",172,631.24
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",168,616.56
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",200,734.00
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",132,484.44
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",168,616.56
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",148,543.16
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",184,675.28
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",112,411.04
"TJX40020922","TJX - TJ Maxx:TJX-TJ Maxx-40",128,469.76
"TJX60020922","TJX - TJ Maxx:TJX-TJ Maxx-60",136,499.12
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",176,645.92
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",128,469.76
"TJX10020923","TJX - TJ Maxx:TJX-TJ Maxx-10",116,425.72
"TJX40020923","TJX - TJ Maxx:TJX-TJ Maxx-40",124,455.08
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",128,469.76
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",180,660.60
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",132,484.44
"Total 67018 (Wavy Glass 27 oz Square Food Storage 2P sets - Rose Pink)",,8108,29756.36
"67020 (Wavy Glass 34 oz Rectangular Food Storage 2P sets - Rose Pink)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",184,759.92
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",188,776.44
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",224,925.12
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",220,908.60
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",280,1156.40
"MAR01033822","TJX - Marshalls:TJX-Marshalls-01",152,627.76
"MAR04033822","TJX - Marshalls:TJX-Marshalls-04",228,941.64
"MAR06033822","TJX - Marshalls:TJX-Marshalls-06",268,1106.84
"MAR07033822","TJX - Marshalls:TJX-Marshalls-07",256,1057.28
"MAR08033822","TJX - Marshalls:TJX-Marshalls-08",304,1255.52
"TJX10033861","TJX - TJ Maxx:TJX-TJ Maxx-10",136,561.68
"TJX40033861","TJX - TJ Maxx:TJX-TJ Maxx-40",184,759.92
"TJX60033861","TJX - TJ Maxx:TJX-TJ Maxx-60",440,1817.20
"TJX70033861","TJX - TJ Maxx:TJX-TJ Maxx-70",344,1420.72
"TJX80033861","TJX - TJ Maxx:TJX-TJ Maxx-80",344,1420.72
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",212,875.56
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",248,1024.24
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",260,1073.80
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",360,1486.80
"TJX80033853","TJX - TJ Maxx:TJX-TJ Maxx-80",252,1040.76
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",188,776.44
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",128,528.64
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",176,726.88
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",172,710.36
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",168,693.84
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",200,826.00
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",132,545.16
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",168,693.84
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",148,611.24
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",184,759.92
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",112,462.56
"TJX40020922","TJX - TJ Maxx:TJX-TJ Maxx-40",128,528.64
"TJX60020922","TJX - TJ Maxx:TJX-TJ Maxx-60",136,561.68
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",176,726.88
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",128,528.64
"TJX10020923","TJX - TJ Maxx:TJX-TJ Maxx-10",116,479.08
